event_id,user_id,campaign_id,event_type,event_time,device_type,location
e8c26250-5204-4206-b621-c0ff96439ae4,U00649,C018,open,2025-06-21T18:13:58.815996,mobile,Barros/PE
1d75ed64-2e97-493f-880e-476aa1c47da4,U02814,C024,open,2025-06-27T16:51:58.815996,mobile,Pacheco de Goiás/AP
10d74c69-f0ff-4b04-9761-226ce0a4603a,U02599,C028,open,2025-07-01T18:31:58.815996,mobile,Silveira/PA
fbc759a0-aaa5-468e-9d2e-c8478d341bdb,U03160,C015,open,2025-06-18T16:52:58.815996,desktop,Rocha/AP
e056fed5-150f-481f-861a-dee019c9a97b,U02463,C012,open,2025-06-15T16:43:58.815996,mobile,Dias/ES
20c217f0-d2a0-4e51-9a3c-bc53a320cb0f,U00900,C003,open,2025-06-06T17:01:58.815996,tablet,Santos dos Dourados/SC
06f605d1-9f65-4d6e-9b49-030f24f76f14,U03048,C002,open,2025-06-05T19:31:58.815996,mobile,Ferreira/AC
53ba7c65-7cc8-480a-9f12-9460b7523dd5,U03543,C013,open,2025-06-16T19:26:58.815996,desktop,Rezende de Abreu/PR
b0f50052-5774-4d8f-82b5-00d12e0df525,U04897,C021,open,2025-06-24T19:03:58.815996,mobile,Freitas de Abreu/SC
6788bad8-c09f-4f68-9283-e7cca3576d94,U00008,C030,open,2025-07-03T17:40:58.815996,mobile,Nunes da Mata/RO
993e96eb-03da-481b-bead-ac8602a258c0,U00120,C020,open,2025-06-23T17:36:58.815996,tablet,Costa da Praia/PB
21758c96-456f-4ddd-bcf0-73acb36207f4,U03128,C019,open,2025-06-22T18:17:58.815996,mobile,Montenegro das Pedras/RR
a180b17c-eac8-42db-a41f-c1101048e869,U00590,C013,open,2025-06-16T16:54:58.815996,mobile,Cardoso de Minas/ES
a8cd2087-52b7-47ff-ae95-bfcc14a49d08,U04241,C009,open,2025-06-12T18:29:58.815996,mobile,Duarte/RJ
d0718fb5-fbd5-46d8-b61b-e773f846dd6e,U03998,C028,open,2025-07-01T18:41:58.815996,tablet,Barbosa Paulista/PI
92a858ad-0074-4bff-a2b2-1d20fda27a4c,U04995,C027,open,2025-06-30T17:04:58.815996,mobile,Sousa da Praia/GO
4ca99d8d-eb8a-4875-a912-69c01b936982,U02071,C027,open,2025-06-30T19:01:58.815996,tablet,Castro/MS
0c813346-d12e-4de0-a077-0a66fce0f01d,U01669,C005,open,2025-06-08T17:53:58.815996,desktop,Fernandes do Campo/DF
c888054c-158c-41b6-a8d6-b0b992977a5f,U02803,C022,open,2025-06-25T19:26:58.815996,tablet,Santos/AL
0988141d-ef58-4004-9f50-dee06c7270d2,U03188,C005,open,2025-06-08T17:50:58.815996,tablet,Pimenta de Minas/MS
44bd2401-ac80-410e-8282-45b10a611629,U00057,C016,open,2025-06-19T18:17:58.815996,tablet,Brito Verde/PA
128e5783-6645-48ed-8771-b442dc4675ff,U01006,C018,open,2025-06-21T19:24:58.815996,mobile,Ribeiro/RR
3b798faa-e0a0-4599-9de0-bf9a772c5db7,U01409,C010,open,2025-06-13T16:49:58.815996,mobile,Camargo do Campo/AC
6ebec0e1-f28a-4053-8d6f-9345f25b937c,U03951,C008,open,2025-06-11T17:40:58.815996,mobile,Monteiro da Mata/MT
270be57e-35a7-41e6-be21-373d43e45eb0,U01539,C009,open,2025-06-12T16:56:58.815996,mobile,Rocha/ES
294acdac-d27b-4a18-a214-34c2875cf672,U02534,C025,open,2025-06-28T16:50:58.815996,tablet,da Conceição das Flores/SP
075536d0-5140-41ef-a429-7e9df19fde64,U01620,C004,open,2025-06-07T17:01:58.815996,tablet,Siqueira do Sul/MT
7274f000-a522-4011-a6c4-8421d1c625a6,U00031,C021,open,2025-06-24T16:59:58.815996,desktop,da Cunha/AP
b42c4a13-67bd-4dda-a542-ad1bbf8e947c,U03430,C001,open,2025-06-04T18:00:58.815996,mobile,da Costa de Monteiro/BA
1ae422de-d2ba-4ff1-96bd-fd10d172a3cc,U01707,C023,open,2025-06-26T17:32:58.815996,mobile,da Costa/GO
1911317c-69b1-492e-96e8-67f0a238706b,U03622,C011,open,2025-06-14T19:15:58.815996,mobile,Leão/RR
d4089f94-e856-4521-9593-0234886251fa,U03080,C015,open,2025-06-18T19:03:58.815996,tablet,Montenegro de Viana/SE
1879b309-e51b-4b60-beb3-7c86096a1238,U00146,C001,open,2025-06-04T17:52:58.815996,desktop,Aparecida de Santos/DF
3681b6e5-f012-4906-bb4a-40d7b487cc2f,U00879,C015,open,2025-06-18T16:42:58.815996,tablet,Cunha/RS
4d726f0b-a558-402e-ab65-1e77316495b2,U01653,C012,open,2025-06-15T18:19:58.815996,mobile,Carvalho/PE
9f35d33c-3723-4123-94ff-1aad12f9ca98,U01690,C019,open,2025-06-22T17:43:58.815996,mobile,Macedo/AP
2753283c-0712-4e78-81ff-f424dca0280c,U03363,C026,open,2025-06-29T18:11:58.815996,desktop,Fogaça/MA
20e5363d-3115-4df5-b0ff-b8ce02bbcba0,U04581,C004,open,2025-06-07T17:48:58.815996,tablet,Sousa de Rodrigues/SC
8527ea7d-803d-4e50-b339-6594279b99ca,U03987,C027,open,2025-06-30T18:41:58.815996,desktop,Carvalho do Campo/AP
3b3a6f31-ed29-4653-b356-85e67fbbff39,U03229,C017,open,2025-06-20T17:27:58.815996,mobile,Macedo/SC
ab709b8d-0d2c-40fc-8b88-5556f9fd73f6,U02408,C001,open,2025-06-04T17:23:58.815996,mobile,Pacheco das Pedras/ES
54247432-d4e5-4764-8458-ea75f9907163,U03137,C009,open,2025-06-12T18:03:58.815996,desktop,Cunha de Barbosa/AP
701e792b-c4a0-401d-9a74-91ce9d61e8d7,U04461,C009,open,2025-06-12T17:53:58.815996,desktop,Pereira do Oeste/ES
df3b0bf8-bf90-4f78-8e1f-855bae96e21f,U02685,C005,open,2025-06-08T17:12:58.815996,desktop,Almeida/PI
3d82ac81-c1bc-42ca-84ec-fd94618c5dbe,U01676,C011,open,2025-06-14T19:22:58.815996,desktop,Castro de Goiás/AL
32439cfe-33a2-49b7-b4a5-bc9d7397e7c0,U03920,C020,open,2025-06-23T17:41:58.815996,mobile,Siqueira Alegre/SE
