click_id,user_id,campaign_id,link_clicked,click_time
2a8eec3c-009b-4b9f-8b2a-139c68540932,U01172,C029,/promocoes/moveis,2025-07-02T18:48:29.815996
a4cce8b3-c374-4497-a845-99c776304d5a,U00759,C001,/promocoes/roupas,2025-06-04T17:13:19.815996
4ddcb304-b7c1-4769-b7a9-55f3fab798a9,U04897,C021,/produtos/roupas,2025-06-24T19:33:19.815996
b0724e13-7f46-4ec4-a567-dc8bf9b9e091,U02946,C015,/destaques/beleza,2025-06-18T18:29:05.815996
f448ce1a-ab3c-4e7f-8b54-8b758c6a34fa,U01835,C028,/novidades/roupas,2025-07-01T18:22:52.815996
ff9b57a8-50cc-4bf4-8729-d4e8cb07e0b4,U02236,C014,/novidades/moveis,2025-06-17T18:00:17.815996
ba63f213-5cc5-42b0-beaa-bc0fe1f8314b,U03648,C010,/destaques/roupas,2025-06-13T16:46:16.815996
74006831-0628-463b-9eee-18e0132e3365,U02083,C025,/produtos/beleza,2025-06-28T17:27:40.815996
0f1ddc1c-3f6e-4394-ba44-9ab61035876f,U03653,C022,/destaques/beleza,2025-06-25T17:52:09.815996
03f427a4-a869-4163-a9b0-a344bb56de92,U03980,C007,/destaques/beleza,2025-06-10T16:43:37.815996
9232bcf0-6f80-4466-b5c4-d1304a46dbea,U02910,C014,/produtos/beleza,2025-06-17T18:43:08.815996
351eca24-60c3-4548-bbbe-066c17b56f48,U01912,C003,/novidades/moveis,2025-06-06T17:20:33.815996
79f7a066-9e3a-4c07-b4a8-6898c572dd8a,U04669,C030,/destaques/roupas,2025-07-03T17:50:24.815996
300ce616-6911-4630-a749-9a17471c817c,U01073,C010,/destaques/beleza,2025-06-13T18:04:32.815996
73bbef28-b90a-4aec-8839-a62a8fab03f8,U01492,C004,/novidades/roupas,2025-06-07T18:56:02.815996
af2a4474-3b98-43b4-8a10-bfa54694f4be,U03672,C014,/produtos/roupas,2025-06-17T18:11:41.815996
e6306db5-9f7f-4f21-a3c0-72c0c182fcec,U00767,C015,/destaques/livros,2025-06-18T18:52:37.815996
acc3a179-c824-4161-ab77-5710ee49455b,U04910,C012,/destaques/calcados,2025-06-15T19:30:15.815996
7ea08a3f-eada-4821-a9b0-2c0363dbfb26,U03105,C027,/novidades/calcados,2025-06-30T19:28:45.815996
918c5192-adc9-4108-ae50-db5d00f74fb6,U01992,C025,/promocoes/eletronicos,2025-06-28T17:56:13.815996
17379d85-845b-4525-a015-54d93d22c7be,U00976,C007,/promocoes/eletronicos,2025-06-10T17:16:47.815996
820f58c3-c89e-49f7-94ac-cc249e294a66,U02177,C029,/produtos/moveis,2025-07-02T17:44:37.815996
b5bb48ae-fd6a-4ef4-9141-28ff0b1f0221,U03821,C009,/promocoes/livros,2025-06-12T18:34:53.815996
c389f480-29b9-4fbf-8037-62fa338a1721,U02104,C016,/promocoes/livros,2025-06-19T17:09:50.815996
01c28d40-f424-4c52-a0d1-fd7ec053430d,U01546,C019,/promocoes/livros,2025-06-22T19:41:10.815996
05bb2ccf-8967-403a-8250-e1a17d1f6363,U04938,C009,/produtos/beleza,2025-06-12T16:52:15.815996
3d8ce0ec-82a1-471c-8eaa-117d61282957,U00423,C023,/novidades/eletronicos,2025-06-26T18:13:00.815996
9054f718-8c2a-4543-8e97-cf2127c9993f,U04396,C026,/produtos/beleza,2025-06-29T18:10:58.815996
774ce218-0990-4895-b8d5-2d280822772d,U02944,C016,/promocoes/calcados,2025-06-19T19:06:36.815996
c2931014-36eb-40f6-a8ec-c398696921d3,U03715,C013,/promocoes/beleza,2025-06-16T18:52:00.815996
38a35e4d-88d8-437c-9190-907c45693b31,U00262,C004,/promocoes/livros,2025-06-07T19:29:29.815996
41fe322f-4506-4dee-96b5-ccce183f7165,U03609,C025,/promocoes/roupas,2025-06-28T18:12:01.815996
ec65f936-52ff-410c-b6ae-b1a1dd44a216,U04592,C016,/novidades/beleza,2025-06-19T18:29:03.815996
